IF,Shapre Fac,CF,RMS,Kur,Skew,Var,SD,Mean,Range,TARGET
0.910002525,1.001846831,0.908325002,20.65816313,-0.368767547,-0.636142575,1.571950345,1.25377444,-20.62008131,5.24374496,2UL
0.911539697,1.001860033,0.909847351,20.65109737,-0.372452049,-0.634773304,1.58207297,1.257804822,-20.61275697,5.18240516,2UL
0.911523238,1.00185695,0.909833722,20.6602776,-0.360794396,-0.636089996,1.580862322,1.257323475,-20.62198362,5.19774011,2UL
0.911120626,1.001875101,0.90941538,20.65025666,-0.351112989,-0.621882928,1.594723489,1.262823617,-20.61160782,5.15173527,2UL
0.912501598,1.001874526,0.91079429,20.6473498,-0.382842027,-0.624908637,1.593787199,1.26245285,-20.60871822,5.16061339,2UL
0.90968539,1.001883795,0.907974952,20.65368279,-0.405018923,-0.620466496,1.602628506,1.265949646,-20.61484864,5.17594835,2UL
0.911914055,1.001872687,0.910209517,20.65086094,-0.381730034,-0.629303389,1.592769788,1.262049836,-20.61226062,5.15899919,2UL
0.912137469,1.001851709,0.910451578,20.64448405,-0.364373792,-0.633664343,1.574004095,1.254593199,-20.60632712,5.17352703,2UL
0.910733938,1.001863396,0.909040037,20.64724095,-0.371307758,-0.629523054,1.58433356,1.258703126,-20.60883853,5.17998386,2UL
0.913269635,1.001857993,0.911575933,20.64912408,-0.399828782,-0.619421587,1.58004044,1.256996595,-20.61082931,5.14205004,2UL
0.91255927,1.001819177,0.910902178,20.65553688,-0.347133968,-0.647258365,1.548082729,1.244219727,-20.61802903,5.15012106,2UL
0.913901191,1.001856924,0.912207292,20.65695186,-0.377133834,-0.63330052,1.580331501,1.257112366,-20.61866457,5.13559322,2UL
0.912104667,1.001835934,0.910433172,20.66351799,-0.349805856,-0.642088444,1.563510986,1.250404329,-20.62565065,5.18563357,2UL
0.91044752,1.001865926,0.908751856,20.67066329,-0.407418226,-0.605419387,1.590080307,1.260983865,-20.63216519,5.20338983,2UL
0.915127766,1.001848451,0.913439318,20.66973521,-0.370130634,-0.642180907,1.575088198,1.255025178,-20.63159871,5.08474576,2UL
0.908678691,1.001852111,0.906998828,20.64921473,-0.358908027,-0.631452517,1.575066109,1.255016378,-20.6110408,5.2267958,2UL
0.910422569,1.001847783,0.908743408,20.65664501,-0.359497268,-0.63753163,1.572526599,1.254004226,-20.61854642,5.20903955,2UL
0.909655931,1.001846457,0.907979386,20.64824852,-0.370490661,-0.626508758,1.570124261,1.253045993,-20.61019269,5.18079096,2UL
0.914381085,1.001854211,0.912688768,20.65401339,-0.381109401,-0.632607498,1.577579922,1.256017485,-20.61578738,5.17998386,2UL
0.914400302,1.001844474,0.91271682,20.65426289,-0.347227106,-0.649008716,1.569356361,1.252739543,-20.61623679,5.13640032,2UL
0.913195184,1.001868518,0.911492046,20.65279544,-0.394032449,-0.618619767,1.589530846,1.260765976,-20.6142773,5.15334947,2UL
0.912222821,1.00185867,0.910530446,20.64801432,-0.375659215,-0.620607997,1.580444991,1.257157505,-20.60970767,5.17998386,2UL
0.913467572,1.001823204,0.911805166,20.65898066,-0.368103015,-0.642756234,1.552017049,1.245799763,-20.62138368,5.12187248,2UL
0.914272093,1.001844728,0.912588615,20.66158654,-0.373139627,-0.636292901,1.570685439,1.253269899,-20.62354171,5.10008071,2UL
0.913482158,1.001840899,0.91180362,20.65813053,-0.392235492,-0.631993326,1.566910202,1.251762838,-20.62017087,5.08313156,2UL
0.910440333,1.001850555,0.908758625,20.65452285,-0.369932647,-0.635423426,1.574555749,1.254813034,-20.61637112,5.26150121,2UL
0.911187677,1.001869161,0.909487698,20.6566015,-0.370453721,-0.627204769,1.590662775,1.261214801,-20.61806302,5.18805488,2UL
0.914455784,1.001862867,0.912755442,20.64543069,-0.35931521,-0.642543014,1.583607228,1.258414569,-20.60704251,5.18482647,8UL
0.911439337,1.001871576,0.909736696,20.65360927,-0.375964974,-0.623117737,1.59225121,1.261844368,-20.61502667,5.18966908,8UL
0.912185567,1.001838612,0.91051149,20.64046634,-0.316511712,-0.653438901,1.562293477,1.249917388,-20.60258618,5.18886198,8UL
0.911267628,1.001870188,0.909566568,20.65214828,-0.351128403,-0.646727717,1.590848231,1.261288322,-20.61359698,5.20581114,8UL
0.911909211,1.001851499,0.910223933,20.65408072,-0.352690844,-0.634613301,1.575289207,1.255105257,-20.61591039,5.20258273,8UL
0.912931826,1.001880513,0.911218269,20.64660023,-0.378420334,-0.627276644,1.598746612,1.264415522,-20.60784691,5.24939468,8UL
0.911598693,1.001868627,0.909898432,20.6455029,-0.349840656,-0.635000828,1.588501457,1.26035767,-20.60699611,5.18644068,8UL
0.913245512,1.001862252,0.91154798,20.64887188,-0.36463053,-0.636667025,1.58361363,1.258417113,-20.61048996,5.15173527,8UL
0.913387805,1.001877506,0.911676127,20.64331353,-0.34152475,-0.641462749,1.595689751,1.263206139,-20.60462821,5.20096853,8UL
0.913476752,1.001848927,0.911790917,20.65310722,-0.327192657,-0.659422674,1.572959097,1.254176661,-20.61499161,5.17029863,8UL
0.911863733,1.001866903,0.910164544,20.66163577,-0.349802034,-0.64470733,1.589520971,1.26076206,-20.62313438,5.24293785,8UL
0.911090603,1.001898391,0.909364274,20.64875457,-0.38332855,-0.617904803,1.614239617,1.270527299,-20.60962944,5.28087167,8UL
0.910669577,1.001865245,0.908974118,20.64429866,-0.356304746,-0.641038635,1.585448987,1.259146134,-20.60586369,5.18159806,8UL
0.913616832,1.001870378,0.911911214,20.64772752,-0.368019805,-0.643165616,1.59032794,1.261082051,-20.60918058,5.18159806,8UL
0.91097206,1.001870384,0.909271373,20.6464261,-0.362089106,-0.643164858,1.590133032,1.261004771,-20.60788144,5.19209039,8UL
0.912430582,1.001856847,0.910739479,20.63618554,-0.358874305,-0.639880327,1.577090205,1.255822521,-20.59793833,5.18321227,8UL
0.913203128,1.001862022,0.911505884,20.62149077,-0.349968821,-0.636419249,1.579222047,1.256671018,-20.58316447,5.17271993,8UL
0.912671999,1.00184803,0.910988464,20.64294888,-0.343991431,-0.652512037,1.570652111,1.253256602,-20.60487045,5.18805488,8UL
0.913829459,1.001864607,0.912128698,20.63307096,-0.375029316,-0.62397011,1.583185047,1.258246815,-20.59466999,5.13317191,8UL
0.913608231,1.001840302,0.911930004,20.63845159,-0.346727236,-0.644041927,1.563420691,1.250368222,-20.60054037,5.16787732,8UL
0.909780983,1.001853358,0.908097953,20.62777689,-0.331861449,-0.642711608,1.572852575,1.254134194,-20.58961697,5.22921711,8UL
0.910219161,1.001861908,0.908527566,20.6322365,-0.363302985,-0.631054409,1.580771964,1.257287542,-20.59389256,5.21468926,8UL
0.912061318,1.001886133,0.910344287,20.62475238,-0.376116291,-0.624691881,1.600119738,1.264958394,-20.58592459,5.19531881,8UL
0.912496314,1.001894661,0.910770713,20.63016079,-0.367486867,-0.636255369,1.608176668,1.268139057,-20.59114755,5.2276029,8UL
0.911650395,1.001883763,0.90993629,20.63843504,-0.384403601,-0.624905807,1.600235592,1.265004186,-20.59963022,5.18724778,8UL
0.913649389,1.001881352,0.91193372,20.62951704,-0.358774855,-0.642343636,1.596812749,1.263650564,-20.59077853,5.1945117,8UL
0.912650687,1.001874544,0.910943084,20.64486324,-0.35328677,-0.642315932,1.593418473,1.262306806,-20.60623595,5.1928975,8UL
0.912397564,1.001864982,0.910699127,20.63621366,-0.361533936,-0.630375222,1.583984993,1.258564656,-20.59779914,5.19128329,8UL
0.911269083,1.001874587,0.909564027,20.65220598,-0.338242927,-0.644665537,1.594588225,1.26277006,-20.61356407,5.21226796,8UL
0.913078669,1.001852158,0.91139063,20.64269557,-0.336953071,-0.639487787,1.574111765,1.254636109,-20.60453272,5.20742535,8UL
0.911938069,1.001863644,0.910241702,20.63683039,-0.345829414,-0.640657766,1.582946425,1.258151988,-20.59844223,5.21872478,8UL
0.911899101,1.001891185,0.910177787,20.63739283,-0.379486296,-0.630429585,1.606360552,1.267422799,-20.59843737,5.22114609,8UL
0.911633134,1.001849191,0.909950461,20.64343547,-0.344386072,-0.658535331,1.571710096,1.253678626,-20.60533227,5.17756255,8UL
0.911106997,1.001877598,0.90939951,20.6399669,-0.375317889,-0.640909575,1.595250104,1.263032107,-20.60128597,5.23486683,8UL
0.913992456,1.001872417,0.91228428,20.64282275,-0.315457783,-0.653284276,1.591300994,1.261467794,-20.60424301,5.19935432,8UL
0.912257456,1.001880053,0.910545582,20.65298945,-0.358237836,-0.637434822,1.599346508,1.264652722,-20.6142336,5.20742534,8UL
0.912602536,1.001871293,0.910897979,20.64499948,-0.364380208,-0.639908993,1.59068364,1.261223073,-20.6064388,5.18724778,8UL
0.911751879,1.001875611,0.910044989,20.64927315,-0.350547963,-0.639315496,1.595003648,1.262934538,-20.61061566,5.17917676,8UL
0.910711687,1.001890785,0.908992977,20.64919781,-0.371670526,-0.634832872,1.607859513,1.268014003,-20.6102283,5.26392252,8UL
0.912906148,1.00184706,0.911223064,20.64472012,-0.326627298,-0.655239464,1.570099286,1.253036028,-20.60665838,5.16949152,8UL
0.913194872,1.001869866,0.911490507,20.6351208,-0.355485657,-0.641840668,1.587953117,1.260140118,-20.5966079,5.18079096,8UL
0.911287614,1.001861906,0.909594036,20.63466551,-0.345388571,-0.647265832,1.581142199,1.257434769,-20.59631711,5.20661824,8UL
0.912328612,1.001883456,0.910613511,20.63992652,-0.392957209,-0.624038445,1.600207315,1.26499301,-20.6011252,5.20016142,8UL
0.912807722,1.001870859,0.911103176,20.63414887,-0.368780891,-0.638436922,1.588644936,1.260414589,-20.59561737,5.19854721,8UL
0.912450391,1.001900169,0.910719869,20.63308498,-0.3606971,-0.638181107,1.613295993,1.270155893,-20.59395299,5.20096852,8UL
0.91160037,1.001890417,0.909880317,20.63615649,-0.399201125,-0.615871763,1.6055173,1.267090091,-20.59721917,5.20823244,8UL
0.911074476,1.001874367,0.909369983,20.63974954,-0.367227258,-0.63232007,1.592479203,1.261934706,-20.60113545,5.20016142,8UL
0.912759519,1.00188628,0.91104104,20.63732801,-0.33447529,-0.647301206,1.602196191,1.265778887,-20.59847352,5.23163842,8UL
0.912746372,1.001839195,0.911070736,20.64374243,-0.322893013,-0.650774118,1.563283702,1.250313442,-20.60584426,5.24535917,8UL
0.91334,1.001856184,0.911647814,20.64395467,-0.334518255,-0.654720761,1.577716233,1.256071747,-20.60570669,5.23083132,8UL
0.91378213,1.001832793,0.91211042,20.63259954,-0.332110358,-0.643681736,1.556176101,1.247467876,-20.59485343,5.18886199,8UL
0.91320152,1.001867711,0.911499104,20.6393535,-0.360550825,-0.641061265,1.586778865,1.259674111,-20.60087702,5.18563357,8UL
0.912595572,1.001879978,0.910883132,20.64710812,-0.375341574,-0.637155091,1.598372173,1.264267445,-20.60836484,5.18644068,8UL
0.913897608,1.001871633,0.912190323,20.63875541,-0.346882673,-0.643227059,1.590009388,1.260955744,-20.6001994,5.16868442,8UL
0.912314325,1.001843991,0.910635122,20.6270284,-0.331224296,-0.657923411,1.564811923,1.250924428,-20.58906236,5.16464891,8UL
0.912734079,1.001856142,0.911043054,20.63285284,-0.354097298,-0.644647484,1.575984057,1.255382036,-20.59462629,5.18563358,8UL
0.911732349,1.001875375,0.910025709,20.6355202,-0.377996522,-0.634920374,1.59268018,1.262014334,-20.5968933,5.17756255,8UL
0.912975093,1.001866885,0.91127385,20.6293986,-0.353947291,-0.639440562,1.584549727,1.258788992,-20.59095765,5.24213075,8UL
0.911865822,1.00186698,0.910166559,20.63853417,-0.363071864,-0.634884204,1.586034252,1.259378518,-20.60007424,5.20500404,8UL
0.911764728,1.001878852,0.91005487,20.63574586,-0.364070299,-0.62755722,1.595659347,1.263194105,-20.59704706,5.21065375,8UL
0.915698543,1.001858667,0.913999722,20.65088057,-0.330806658,-0.656874511,1.580880872,1.257330852,-20.61256868,5.14608556,8UL
0.911090725,1.001850582,0.909407791,20.63800395,-0.359526082,-0.639994247,1.572061672,1.253818835,-20.59988217,5.18401937,8UL
0.911340004,1.001845577,0.909661154,20.6473391,-0.371871504,-0.629872445,1.56924011,1.252693143,-20.60930304,5.17110573,8UL
0.913153112,1.001861074,0.911456824,20.65536454,-0.352249962,-0.649074064,1.583609816,1.258415597,-20.61699479,5.19531881,8UL
0.910065851,1.001853968,0.90838174,20.65420729,-0.372013762,-0.636240914,1.577403411,1.255947217,-20.61598592,5.18966909,8UL
0.915179471,1.001896077,0.913447505,20.6554127,-0.384207618,-0.635641304,1.613317411,1.270164324,-20.61632257,5.18079096,8UL
0.91418937,1.001853922,0.91249767,20.65303182,-0.338145531,-0.638507791,1.57718507,1.255860291,-20.61481357,5.17675545,8UL
0.912052818,1.00188657,0.910335407,20.64711856,-0.373677046,-0.631054706,1.603962333,1.266476345,-20.60823968,5.24374495,8UL
0.912006141,1.001873386,0.910300797,20.64790357,-0.357868319,-0.637515983,1.592905803,1.262103721,-20.60929441,5.18886198,8UL
0.910351039,1.001850148,0.908669865,20.65032285,-0.337967836,-0.644396654,1.573570601,1.254420424,-20.61218725,5.20177562,8UL
0.910280525,1.001855656,0.908594486,20.65292435,-0.349083629,-0.63930294,1.578640113,1.256439459,-20.6146706,5.23244552,8UL
0.913037829,1.001869127,0.91133443,20.66345236,-0.358385365,-0.64226919,1.591688913,1.261621541,-20.62490181,5.23405972,8UL
0.911824907,1.001855631,0.910136031,20.64543399,-0.349526566,-0.645956299,1.577473381,1.255975072,-20.60719465,5.19774011,8UL
0.912235583,1.001890879,0.910513912,20.65548066,-0.383794504,-0.630952482,1.608917591,1.268431153,-20.61649737,5.20742535,8UL
